Start Time, End Time, State, State Name
2018-04-03 00:00:00,2018-04-03 00:00:00,0,0)
2018-04-04 00:00:00,2018-04-04 00:00:00,4,4)
2018-04-05 00:00:00,2018-04-05 00:00:00,0,0)
2018-04-06 00:00:00,2018-04-06 00:00:00,4,4)
2018-04-09 00:00:00,2018-04-10 00:00:00,0,0)
2018-04-11 00:00:00,2018-04-11 00:00:00,4,4)
2018-04-12 00:00:00,2018-04-12 00:00:00,0,0)
2018-04-13 00:00:00,2018-04-13 00:00:00,4,4)
2018-04-16 00:00:00,2018-04-17 00:00:00,0,0)
2018-04-18 00:00:00,2018-04-18 00:00:00,4,4)
2018-04-19 00:00:00,2018-04-19 00:00:00,0,0)
2018-04-20 00:00:00,2018-04-20 00:00:00,4,4)
2018-04-23 00:00:00,2018-04-23 00:00:00,0,0)
2018-04-24 00:00:00,2018-04-24 00:00:00,4,4)
2018-04-25 00:00:00,2018-04-25 00:00:00,0,0)
2018-04-26 00:00:00,2018-04-26 00:00:00,4,4)
2018-04-27 00:00:00,2018-04-27 00:00:00,0,0)
2018-04-30 00:00:00,2018-05-17 00:00:00,2,2)
2018-05-18 00:00:00,2018-05-25 00:00:00,3,3)
2018-05-29 00:00:00,2018-06-05 00:00:00,2,2)
2018-06-06 00:00:00,2018-06-22 00:00:00,3,3)
2018-06-25 00:00:00,2018-07-09 00:00:00,2,2)
2018-07-10 00:00:00,2018-10-09 00:00:00,3,3)
2018-10-10 00:00:00,2018-10-10 00:00:00,4,4)
2018-10-11 00:00:00,2018-10-12 00:00:00,0,0)
2018-10-15 00:00:00,2018-10-15 00:00:00,4,4)
2018-10-16 00:00:00,2018-10-16 00:00:00,0,0)
2018-10-17 00:00:00,2018-10-17 00:00:00,4,4)
2018-10-18 00:00:00,2018-10-19 00:00:00,0,0)
2018-10-22 00:00:00,2018-10-22 00:00:00,4,4)
2018-10-23 00:00:00,2018-10-23 00:00:00,0,0)
2018-10-24 00:00:00,2018-10-24 00:00:00,4,4)
2018-10-25 00:00:00,2018-10-25 00:00:00,0,0)
2018-10-26 00:00:00,2018-10-26 00:00:00,4,4)
2018-10-29 00:00:00,2018-10-30 00:00:00,0,0)
2018-10-31 00:00:00,2018-10-31 00:00:00,4,4)
2018-11-01 00:00:00,2018-11-01 00:00:00,0,0)
2018-11-02 00:00:00,2018-11-02 00:00:00,4,4)
2018-11-05 00:00:00,2018-11-05 00:00:00,0,0)
2018-11-06 00:00:00,2018-11-06 00:00:00,4,4)
2018-11-07 00:00:00,2018-11-07 00:00:00,0,0)
2018-11-08 00:00:00,2018-11-08 00:00:00,4,4)
2018-11-09 00:00:00,2018-11-09 00:00:00,0,0)
2018-11-12 00:00:00,2018-11-12 00:00:00,4,4)
2018-11-13 00:00:00,2018-11-13 00:00:00,0,0)
2018-11-14 00:00:00,2018-11-14 00:00:00,4,4)
2018-11-15 00:00:00,2018-11-15 00:00:00,0,0)
2018-11-16 00:00:00,2018-11-16 00:00:00,4,4)
2018-11-19 00:00:00,2018-11-19 00:00:00,0,0)
2018-11-20 00:00:00,2018-11-20 00:00:00,4,4)
2018-11-21 00:00:00,2018-11-21 00:00:00,0,0)
2018-11-23 00:00:00,2018-11-23 00:00:00,4,4)
2018-11-26 00:00:00,2018-11-26 00:00:00,0,0)
2018-11-27 00:00:00,2018-11-27 00:00:00,4,4)
2018-11-28 00:00:00,2018-11-28 00:00:00,0,0)
2018-11-29 00:00:00,2018-11-29 00:00:00,4,4)
2018-11-30 00:00:00,2018-12-03 00:00:00,0,0)
2018-12-04 00:00:00,2018-12-04 00:00:00,4,4)
2018-12-06 00:00:00,2018-12-06 00:00:00,0,0)
2018-12-07 00:00:00,2018-12-07 00:00:00,4,4)
2018-12-10 00:00:00,2018-12-10 00:00:00,0,0)
2018-12-11 00:00:00,2018-12-11 00:00:00,4,4)
