Start Time, End Time, State, State Name
2020-03-24 00:00:00,2020-04-01 00:00:00,0,0)
2020-04-02 00:00:00,2020-04-30 00:00:00,5,5)
2020-05-01 00:00:00,2020-06-05 00:00:00,4,4)
2020-06-08 00:00:00,2020-06-09 00:00:00,0,0)
2020-06-10 00:00:00,2020-06-10 00:00:00,4,4)
2020-06-11 00:00:00,2020-06-17 00:00:00,2,2)
2020-06-18 00:00:00,2020-06-23 00:00:00,1,1)
2020-06-24 00:00:00,2020-07-02 00:00:00,2,2)
2020-07-06 00:00:00,2020-08-14 00:00:00,4,4)
2020-08-17 00:00:00,2020-08-18 00:00:00,6,6)
2020-08-19 00:00:00,2020-09-01 00:00:00,1,1)
2020-09-02 00:00:00,2020-09-02 00:00:00,6,6)
2020-09-03 00:00:00,2020-09-21 00:00:00,2,2)
2020-09-22 00:00:00,2020-09-29 00:00:00,3,3)
2020-09-30 00:00:00,2020-10-01 00:00:00,0,0)
2020-10-02 00:00:00,2020-10-07 00:00:00,4,4)
2020-10-08 00:00:00,2020-10-14 00:00:00,5,5)
2020-10-15 00:00:00,2020-10-15 00:00:00,0,0)
2020-10-16 00:00:00,2020-10-16 00:00:00,5,5)
2020-10-19 00:00:00,2020-10-26 00:00:00,4,4)
2020-10-27 00:00:00,2020-10-27 00:00:00,1,1)
2020-10-28 00:00:00,2020-10-29 00:00:00,2,2)
2020-10-30 00:00:00,2020-11-04 00:00:00,3,3)
2020-11-05 00:00:00,2020-11-11 00:00:00,0,0)
2020-11-12 00:00:00,2020-11-12 00:00:00,5,5)
2020-11-13 00:00:00,2020-11-13 00:00:00,0,0)
2020-11-16 00:00:00,2020-11-16 00:00:00,5,5)
2020-11-17 00:00:00,2020-11-20 00:00:00,0,0)
2020-11-23 00:00:00,2020-12-09 00:00:00,4,4)
2020-12-10 00:00:00,2020-12-31 00:00:00,1,1)
2021-01-04 00:00:00,2021-01-06 00:00:00,2,2)
2021-01-07 00:00:00,2021-01-13 00:00:00,6,6)
2021-01-14 00:00:00,2021-01-19 00:00:00,4,4)
2021-01-20 00:00:00,2021-01-26 00:00:00,6,6)
2021-01-27 00:00:00,2021-02-03 00:00:00,2,2)
2021-02-04 00:00:00,2021-02-04 00:00:00,6,6)
2021-02-05 00:00:00,2021-02-22 00:00:00,4,4)
2021-02-23 00:00:00,2021-02-23 00:00:00,1,1)
2021-02-24 00:00:00,2021-03-01 00:00:00,2,2)
2021-03-02 00:00:00,2021-03-03 00:00:00,1,1)
2021-03-04 00:00:00,2021-03-10 00:00:00,3,3)
2021-03-11 00:00:00,2021-03-24 00:00:00,0,0)
2021-03-25 00:00:00,2021-04-01 00:00:00,4,4)
2021-04-05 00:00:00,2021-04-14 00:00:00,5,5)
2021-04-15 00:00:00,2021-04-15 00:00:00,6,6)
2021-04-16 00:00:00,2021-04-22 00:00:00,4,4)
2021-04-23 00:00:00,2021-04-23 00:00:00,6,6)
2021-04-26 00:00:00,2021-05-07 00:00:00,1,1)
2021-05-10 00:00:00,2021-05-20 00:00:00,2,2)
2021-05-21 00:00:00,2021-05-25 00:00:00,1,1)
2021-05-26 00:00:00,2021-05-26 00:00:00,6,6)
2021-05-27 00:00:00,2021-05-27 00:00:00,4,4)
2021-05-28 00:00:00,2021-05-28 00:00:00,6,6)
2021-06-01 00:00:00,2021-06-15 00:00:00,4,4)
2021-06-16 00:00:00,2021-06-18 00:00:00,1,1)
2021-06-21 00:00:00,2021-06-25 00:00:00,6,6)
2021-06-28 00:00:00,2021-06-28 00:00:00,4,4)
2021-06-29 00:00:00,2021-06-30 00:00:00,6,6)
2021-07-01 00:00:00,2021-07-01 00:00:00,4,4)
2021-07-02 00:00:00,2021-07-07 00:00:00,5,5)
2021-07-08 00:00:00,2021-07-15 00:00:00,6,6)
2021-07-16 00:00:00,2021-07-21 00:00:00,2,2)
2021-07-22 00:00:00,2021-08-04 00:00:00,6,6)
2021-08-05 00:00:00,2021-08-16 00:00:00,4,4)
2021-08-17 00:00:00,2021-08-20 00:00:00,1,1)
2021-08-23 00:00:00,2021-08-24 00:00:00,6,6)
2021-08-25 00:00:00,2021-08-25 00:00:00,4,4)
2021-08-26 00:00:00,2021-08-31 00:00:00,6,6)
2021-09-01 00:00:00,2021-09-07 00:00:00,4,4)
2021-09-08 00:00:00,2021-09-08 00:00:00,1,1)
2021-09-09 00:00:00,2021-09-15 00:00:00,2,2)
2021-09-16 00:00:00,2021-09-16 00:00:00,1,1)
2021-09-17 00:00:00,2021-10-06 00:00:00,3,3)
2021-10-07 00:00:00,2021-10-12 00:00:00,0,0)
2021-10-13 00:00:00,2021-10-13 00:00:00,4,4)
2021-10-14 00:00:00,2021-10-15 00:00:00,0,0)
2021-10-18 00:00:00,2021-11-05 00:00:00,5,5)
2021-11-08 00:00:00,2021-11-10 00:00:00,4,4)
2021-11-11 00:00:00,2021-11-19 00:00:00,1,1)
2021-11-22 00:00:00,2021-11-23 00:00:00,2,2)
2021-11-24 00:00:00,2021-11-24 00:00:00,1,1)
2021-11-26 00:00:00,2021-12-01 00:00:00,2,2)
2021-12-02 00:00:00,2021-12-09 00:00:00,3,3)
2021-12-10 00:00:00,2021-12-27 00:00:00,0,0)
2021-12-28 00:00:00,2022-01-04 00:00:00,5,5)
2022-01-05 00:00:00,2022-01-06 00:00:00,4,4)
2022-01-07 00:00:00,2022-01-14 00:00:00,1,1)
2022-01-18 00:00:00,2022-01-19 00:00:00,2,2)
2022-01-20 00:00:00,2022-01-27 00:00:00,1,1)
2022-01-28 00:00:00,2022-02-17 00:00:00,0,0)
2022-02-18 00:00:00,2022-02-18 00:00:00,4,4)
2022-02-22 00:00:00,2022-03-02 00:00:00,0,0)
2022-03-03 00:00:00,2022-03-04 00:00:00,4,4)
2022-03-07 00:00:00,2022-03-21 00:00:00,0,0)
2022-03-22 00:00:00,2022-04-05 00:00:00,5,5)
2022-04-06 00:00:00,2022-04-08 00:00:00,4,4)
2022-04-11 00:00:00,2022-04-20 00:00:00,1,1)
2022-04-21 00:00:00,2022-05-04 00:00:00,3,3)
2022-05-05 00:00:00,2022-05-23 00:00:00,0,0)
2022-05-24 00:00:00,2022-05-24 00:00:00,3,3)
2022-05-25 00:00:00,2022-05-26 00:00:00,4,4)
2022-05-27 00:00:00,2022-06-09 00:00:00,5,5)
2022-06-10 00:00:00,2022-06-16 00:00:00,0,0)
2022-06-17 00:00:00,2022-06-23 00:00:00,4,4)
2022-06-24 00:00:00,2022-06-27 00:00:00,0,0)
2022-06-28 00:00:00,2022-06-28 00:00:00,4,4)
2022-06-29 00:00:00,2022-06-29 00:00:00,0,0)
2022-06-30 00:00:00,2022-07-06 00:00:00,4,4)
2022-07-07 00:00:00,2022-07-12 00:00:00,5,5)
2022-07-13 00:00:00,2022-07-19 00:00:00,4,4)
2022-07-20 00:00:00,2022-07-29 00:00:00,5,5)
2022-08-01 00:00:00,2022-08-05 00:00:00,0,0)
2022-08-08 00:00:00,2022-08-19 00:00:00,4,4)
2022-08-22 00:00:00,2022-08-23 00:00:00,2,2)
2022-08-24 00:00:00,2022-08-25 00:00:00,1,1)
2022-08-26 00:00:00,2022-09-01 00:00:00,2,2)
2022-09-02 00:00:00,2022-09-06 00:00:00,1,1)
2022-09-07 00:00:00,2022-09-19 00:00:00,3,3)
